Epoch,Ep_Reward,Ep_Adv_Reward,CM_Reward,CM_Adv_Reward
180.0,0.0,-16.46407097651268,0.0,-25.918772562133626
181.0,0.0,-25.01011553102311,0.0,-25.884289960088093
182.0,0.0,-29.46191895517441,0.0,-25.89257201250819
183.0,0.0,-26.397726708436956,0.0,-25.858048321654213
184.0,0.0,-24.411230287218363,0.0,-25.857542923491835
185.0,0.0,-22.083325077234388,0.0,-25.898083744052464
186.0,0.0,-24.149662473541788,0.0,-25.955099041339494
187.0,0.0,-28.31418990837846,0.0,-25.99429599161713
188.0,0.0,-22.755382816332805,0.0,-25.93406491837841
189.0,0.0,-29.76197000557268,0.0,-25.983728195061573
190.0,0.0,-23.98590620113116,0.0,-26.041231518052044
191.0,0.0,-32.56819127581315,0.0,-26.16796612481595
192.0,0.0,-17.078961800355433,0.0,-26.10013534226854
193.0,0.0,-41.27016387404043,0.0,-26.07613159101686
194.0,0.0,-32.33914820013308,0.0,-26.13610694007933
195.0,0.0,-16.4136481495696,0.0,-26.169190748478268
196.0,0.0,-32.03244399711106,0.0,-26.303648283173693
197.0,0.0,-27.542857288932986,0.0,-26.37940131361461
198.0,0.0,-21.76110831163693,0.0,-26.33034419172956
199.0,0.0,-26.697627878635156,0.0,-26.347337889071188
200.0,0.0,-21.896188622433467,0.0,-26.192408318420288
201.0,0.0,-18.159053744617136,0.0,-26.212115124439848
202.0,0.0,-32.13906577407416,0.0,-26.219975864269568
203.0,0.0,-20.719710695957893,0.0,-26.180431709075762
204.0,0.0,-28.0650827463626,0.0,-26.088003631382293
205.0,0.0,-31.12134904185779,0.0,-26.203195952884407
206.0,0.0,-30.39280371338667,0.0,-26.11762695698545
207.0,0.0,-28.427426147837657,0.0,-26.108979394578032
208.0,0.0,-31.699509548063805,0.0,-26.18196614898472
209.0,0.0,-35.796029176050276,0.0,-26.347271172976715
210.0,0.0,-18.456323313184065,0.0,-26.343863073047046
211.0,0.0,-26.479432242395966,0.0,-26.3055036302158
212.0,0.0,-19.58398165207766,0.0,-26.258309024439367
213.0,0.0,-35.91065917249943,0.0,-26.349330688036115
214.0,0.0,-23.352451564321562,0.0,-26.30169253270453
215.0,0.0,-31.05595285766736,0.0,-26.3081625228517
216.0,0.0,-36.304874592000125,0.0,-26.37225940829961
217.0,0.0,-26.318384431685363,0.0,-26.247171995912698
218.0,0.0,-19.045504450414164,0.0,-26.224697735163865
219.0,0.0,-32.72381617067633,0.0,-26.279692409695276
220.0,0.0,-18.68090225516831,0.0,-26.326488756935124
221.0,0.0,-31.283579849168504,0.0,-26.431905177330883
222.0,0.0,-24.28924488566242,0.0,-26.401254918417518
223.0,0.0,-22.744297584511294,0.0,-26.29567813074133
224.0,0.0,-27.913931828570536,0.0,-26.241646640260445
225.0,0.0,-31.037343987479865,0.0,-26.356519082902096
226.0,0.0,-26.909170943503334,0.0,-26.386826406921077
227.0,0.0,-39.38133968181983,0.0,-26.57946942198838
228.0,0.0,-19.02515474036629,0.0,-26.521945355712624
229.0,0.0,-26.969411067781415,0.0,-26.497188601761536
230.0,0.0,-16.89042504705728,0.0,-26.341536396440205
231.0,0.0,-35.96646480425538,0.0,-26.37984337457928
232.0,0.0,-22.027937607113834,0.0,-26.388907741753936
233.0,0.0,-25.78697813533413,0.0,-26.26312229539878
234.0,0.0,-37.67679507737509,0.0,-26.289389435751833
235.0,0.0,-26.73855334385529,0.0,-26.30668754741895
236.0,0.0,-22.950343114387557,0.0,-26.206858887944204
237.0,0.0,-20.891782433422485,0.0,-26.202652113670112
238.0,0.0,-24.544076140325416,0.0,-26.147169764168698
239.0,0.0,-24.209764618810546,0.0,-26.062013297546645
240.0,0.0,-22.614758542988913,0.0,-26.0909452689504
241.0,0.0,-34.086442861827436,0.0,-26.13433056004168
242.0,0.0,-35.58165408584172,0.0,-26.24416640054951
243.0,0.0,-25.421859159252513,0.0,-26.262724340802652
244.0,0.0,-36.51867268221092,0.0,-26.410300512571407
245.0,0.0,-40.77893615678197,0.0,-26.579505742071095
246.0,0.0,-30.587444125383215,0.0,-26.592718376271186
247.0,0.0,-25.057447192891438,0.0,-26.654995045451955
248.0,0.0,-16.954089720396503,0.0,-26.630526676463095
249.0,0.0,-21.169203067600943,0.0,-26.54701360611969
250.0,0.0,-21.537180687498804,0.0,-26.5623858466047
251.0,0.0,-22.528474506683345,0.0,-26.499455494730775
252.0,0.0,-27.927352097142652,0.0,-26.591128897744497
253.0,0.0,-19.846872496995882,0.0,-26.512547674897036
254.0,0.0,-16.32304246000017,0.0,-26.35127318989484
255.0,0.0,-25.610619390006054,0.0,-26.413360889694424
256.0,0.0,-22.776050814674853,0.0,-26.373011922317183
257.0,0.0,-30.570662584468575,0.0,-26.413501601877083
258.0,0.0,-36.10778290096444,0.0,-26.523685491244915
259.0,0.0,-29.00524304352936,0.0,-26.530209747371384
260.0,0.0,-20.950369764481934,0.0,-26.42809953586815
261.0,0.0,-35.04748006088385,0.0,-26.592934528391364
262.0,0.0,-18.77213145637356,0.0,-26.46505367945592
263.0,0.0,-36.88632674943128,0.0,-26.566618640420142
264.0,0.0,-24.915957982823585,0.0,-26.476293474680265
265.0,0.0,-25.80709248351544,0.0,-26.565061276888873
266.0,0.0,-26.575813475903942,0.0,-26.605105351347518
267.0,0.0,-38.565431490405686,0.0,-26.763507260797013
268.0,0.0,-21.47527992908501,0.0,-26.769755083541558
269.0,0.0,-24.05173690016577,0.0,-26.760592563704726
270.0,0.0,-18.77665476299467,0.0,-26.717633059363283
271.0,0.0,-31.471568413332506,0.0,-26.820583075573055
272.0,0.0,-24.718923485113102,0.0,-26.760813841309577
273.0,0.0,-31.417218298383663,0.0,-26.70938255464979
274.0,0.0,-36.060568665946214,0.0,-26.870670430627033
275.0,0.0,-23.087601462122386,0.0,-26.778065343411576
276.0,0.0,-29.898184648407746,0.0,-26.867548848374113
277.0,0.0,-35.39456684642335,0.0,-26.999391640459834
278.0,0.0,-21.63907791465617,0.0,-26.87897778861506
279.0,0.0,-23.359853936642732,0.0,-26.839403738245487
280.0,0.0,-19.828738470788053,0.0,-26.87305041318825
281.0,0.0,-17.765353643969757,0.0,-26.800602794317715
282.0,0.0,-29.634312218216536,0.0,-26.802326726948134
283.0,0.0,-15.895139335582838,0.0,-26.697300853219595
284.0,0.0,-32.18198671970404,0.0,-26.77500841754445
285.0,0.0,-19.873942268569866,0.0,-26.752914589457806
286.0,0.0,-21.44364969700099,0.0,-26.725854461692396
287.0,0.0,-19.863600300242204,0.0,-26.641348565611032
288.0,0.0,-38.620023657944955,0.0,-26.799994974027154
