Epoch,Ep_Reward,Ep_Adv_Reward,CM_Reward,CM_Adv_Reward
0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0,0.0
5.0,0.0,-0.3949992120083978,0.0,-0.06583320200139964
6.0,0.0,0.0,0.0,-0.056428458858342544
7.0,0.0,-0.47319924764645305,0.0,-0.10852480745685636
8.0,0.0,0.0,0.0,-0.09646649551720565
9.0,0.0,0.0,0.0,-0.08681984596548509
10.0,0.0,0.0,0.0,-0.07892713269589553
11.0,0.0,0.0,0.0,-0.07234987163790424
12.0,0.0,0.0,0.0,-0.06678449689652699
13.0,0.0,-0.010955115281422456,0.0,-0.06279668392401952
14.0,0.0,0.0,0.0,-0.058610238329084886
15.0,0.0,0.0,0.0,-0.05494709843351708
16.0,0.0,0.0,0.0,-0.05171491617272196
17.0,0.0,-0.55035147463807,0.0,-0.07941694719857463
18.0,0.0,0.0,0.0,-0.07523710787233386
19.0,0.0,0.0,0.0,-0.07147525247871717
20.0,0.0,0.0,0.0,-0.06807166902734968
21.0,0.0,0.0,0.0,-0.06497750225337924
22.0,0.0,0.0,0.0,-0.062152393459754054
23.0,0.0,0.0,0.0,-0.05956271039893097
24.0,0.0,-0.8298285851269427,0.0,-0.09037334538805145
25.0,0.0,0.0,0.0,-0.086897447488511
26.0,0.0,0.0,0.0,-0.08367902350745504
27.0,0.0,-0.0738309782647073,0.0,-0.08332730760592834
28.0,0.0,0.0,0.0,-0.08045395217124116
29.0,0.0,0.0,0.0,-0.07777215376553312
30.0,0.0,0.0,0.0,-0.07526337461180624
31.0,0.0,0.0,0.0,-0.0729113941551873
32.0,0.0,0.0,0.0,-0.07070195796866648
33.0,0.0,0.0,0.0,-0.06862248861664687
34.0,0.0,0.0,0.0,-0.06666184608474267
35.0,0.0,0.0,0.0,-0.06481012813794426
36.0,0.0,0.0,0.0,-0.06305850305313496
37.0,0.0,0.0,0.0,-0.06139906876226299
38.0,0.0,0.0,0.0,-0.05982473366579471
39.0,0.0,0.0,0.0,-0.05832911532414984
40.0,0.0,0.0,0.0,-0.05690645397478033
41.0,0.0,0.0,0.0,-0.05555153840395223
42.0,0.0,0.0,0.0,-0.05425964216199985
43.0,0.0,-0.0059059842657782635,0.0,-0.05316069539163118
44.0,0.0,0.0,0.0,-0.05197934660515049
45.0,0.0,0.0,0.0,-0.050849360809386346
46.0,0.0,0.0,0.0,-0.049767459515569615
47.0,0.0,-0.44066955452888856,0.0,-0.05791125316168042
48.0,0.0,0.0,0.0,-0.05672939085225837
49.0,0.0,0.0,0.0,-0.055594803035213206
50.0,0.0,0.0,0.0,-0.05450470885805216
51.0,0.0,0.0,0.0,-0.0534565413800127
52.0,0.0,0.0,0.0,-0.05244792739171057
53.0,0.0,-0.7644132275482207,0.0,-0.0656324699872015
54.0,0.0,0.0,0.0,-0.06443915235107056
