Epoch,Ep_Reward,Ep_Adv_Reward
0.0,0.0,-32.17459340967511
1.0,0.0,-31.648400151405195
2.0,0.0,-22.954014747461333
3.0,0.0,-26.815018328804115
4.0,0.0,-19.432497817805896
5.0,0.0,-17.433062008320768
6.0,0.0,-44.153719946972004
7.0,0.0,-29.431811268899075
8.0,0.0,-26.600747796287912
9.0,0.0,-24.570999903604495
10.0,0.0,-28.63777624838028
11.0,0.0,-36.10411461176035
12.0,0.0,-26.356757873627217
13.0,0.0,-23.874847913009397
14.0,0.0,-27.945571186332774
15.0,0.0,-32.00761021951589
16.0,0.0,-24.833511512383485
17.0,0.0,-25.95880351790021
18.0,0.0,-21.073308730802406
19.0,0.0,-29.101185101057894
20.0,0.0,-27.18001792439666
21.0,0.0,-15.195030742595367
22.0,0.0,-26.797199649851464
23.0,0.0,-28.56049599746829
24.0,0.0,-25.14257494716132
25.0,0.0,-39.71106734067883
26.0,0.0,-28.271039417618958
27.0,0.0,-23.018923658428847
28.0,0.0,-24.557737161255567
29.0,0.0,-28.69423293576012
30.0,0.0,-21.11127278150408
31.0,0.0,-26.870310634118013
32.0,0.0,-38.91256753684008
33.0,0.0,-25.478838775382265
34.0,0.0,-32.757144388503235
35.0,0.0,-22.11697205480533
36.0,0.0,-16.055843075458164
37.0,0.0,-26.761827876990733
38.0,0.0,-18.877494863504594
39.0,0.0,-20.250153478107507
40.0,0.0,-29.504696220598763
41.0,0.0,-22.015937553572854
42.0,0.0,-25.651245505966312
43.0,0.0,-30.281033696293086
44.0,0.0,-21.858670564189413
45.0,0.0,-13.018580850473732
46.0,0.0,-32.76562027050896
47.0,0.0,-21.55779278495801
48.0,0.0,-24.835600515608817
49.0,0.0,-26.881026831109306
50.0,0.0,-24.078028323347887
51.0,0.0,-29.406039593878234
52.0,0.0,-35.560960345747674
53.0,0.0,-22.449023438055665
54.0,0.0,-34.80937698149543
55.0,0.0,-22.257843517938426
56.0,0.0,-27.10419804755118
57.0,0.0,-24.750924001894028
58.0,0.0,-30.816033711554258
59.0,0.0,-24.02852768640612
60.0,0.0,-16.892318629349507
61.0,0.0,-26.202294709743512
62.0,0.0,-21.820498272455804
63.0,0.0,-37.443317233983684
64.0,0.0,-30.93094659933447
65.0,0.0,-35.70148208693398
66.0,0.0,-21.151390268586145
67.0,0.0,-23.4827911817649
68.0,0.0,-18.123801023195913
69.0,0.0,-31.28707743804298
70.0,0.0,-39.06177290363315
71.0,0.0,-22.231911904668365
72.0,0.0,-23.111298387621346
73.0,0.0,-16.098559192820655
74.0,0.0,-26.64245650476647
75.0,0.0,-25.606455007747925
76.0,0.0,-31.88323580941141
77.0,0.0,-25.10676779845841
78.0,0.0,-30.963888871010123
79.0,0.0,-31.077225329357283
80.0,0.0,-29.803213771019017
81.0,0.0,-28.458375735576446
82.0,0.0,-28.633713713165125
83.0,0.0,-29.85009579383435
84.0,0.0,-24.461770103456768
85.0,0.0,-18.02924302117166
86.0,0.0,-18.448132744838524
87.0,0.0,-24.394494880614804
88.0,0.0,-28.778490140204294
89.0,0.0,-24.795642337256357
90.0,0.0,-18.23557390208383
91.0,0.0,-19.894730599422388
92.0,0.0,-23.862040055097005
93.0,0.0,-43.670538999208404
94.0,0.0,-26.34161329388632
95.0,0.0,-13.105267309675815
96.0,0.0,-18.58669052756879
97.0,0.0,-19.96755424484125
98.0,0.0,-26.666820500142503
99.0,0.0,-24.99825814447184
100.0,0.0,-37.389145687523495
101.0,0.0,-16.188373142661206
102.0,0.0,-31.352991791101502
103.0,0.0,-24.67412621533869
104.0,0.0,-37.307890515709545
105.0,0.0,-19.602116891646354
106.0,0.0,-38.94970330328217
107.0,0.0,-29.292182388579608
108.0,0.0,-24.400834107394363
109.0,0.0,-19.26552677685089
110.0,0.0,-18.797133306151146
111.0,0.0,-30.315376525520655
112.0,0.0,-24.303442229720524
113.0,0.0,-26.80849281282464
114.0,0.0,-28.116267097480954
115.0,0.0,-30.408953842949913
116.0,0.0,-29.895186047209506
117.0,0.0,-38.82712567037591
118.0,0.0,-21.29293052529855
119.0,0.0,-27.224348717534824
120.0,0.0,-14.001267531183878
121.0,0.0,-20.74193780959225
122.0,0.0,-27.354270776998984
123.0,0.0,-33.301976352130026
124.0,0.0,-33.31708087665898
125.0,0.0,-19.55009972331463
126.0,0.0,-23.87843854160553
127.0,0.0,-20.117038175089164
128.0,0.0,-24.77756136794215
129.0,0.0,-29.445086462890398
130.0,0.0,-32.455645579190104
131.0,0.0,-32.1357669903476
132.0,0.0,-21.12150088964861
133.0,0.0,-38.3655227708501
134.0,0.0,-35.05008104206953
135.0,0.0,-25.008742177143215
136.0,0.0,-32.93320906186277
137.0,0.0,-21.312459860831723
138.0,0.0,-30.09231109046664
139.0,0.0,-32.72541128101581
140.0,0.0,-19.72156140261391
141.0,0.0,-29.74791375269926
142.0,0.0,-24.59807003505812
143.0,0.0,-23.56606513393868
144.0,0.0,-21.761055505335012
145.0,0.0,-23.858413206813374
146.0,0.0,-29.266180705373664
147.0,0.0,-18.8297802748145
148.0,0.0,-19.400926619282547
149.0,0.0,-29.520510101941575
150.0,0.0,-19.999956638998107
151.0,0.0,-28.821509694075786
152.0,0.0,-18.760011795770808
153.0,0.0,-27.704994781741675
154.0,0.0,-32.45049096022003
155.0,0.0,-19.401849410047237
156.0,0.0,-26.810947552398883
157.0,0.0,-26.52169462847855
158.0,0.0,-25.08939396418133
159.0,0.0,-28.35281743088276
160.0,0.0,-31.161390914804976
161.0,0.0,-18.56398080856253
162.0,0.0,-31.560216349918228
163.0,0.0,-26.729830653008733
164.0,0.0,-33.94847455681176
165.0,0.0,-16.93031226265467
166.0,0.0,-22.571406030038787
167.0,0.0,-22.72524054545707
168.0,0.0,-20.8504976546304
169.0,0.0,-24.967988883848566
170.0,0.0,-23.07260519713911
171.0,0.0,-21.176566792355803
172.0,0.0,-30.695846911460446
173.0,0.0,-36.56034696436244
174.0,0.0,-19.931781068221177
175.0,0.0,-32.34811018366799
176.0,0.0,-20.949834152154033
177.0,0.0,-22.210287637850957
178.0,0.0,-33.68046309913389
179.0,0.0,-27.317258973599944
180.0,0.0,-16.46407097651268
181.0,0.0,-25.01011553102311
182.0,0.0,-29.46191895517441
183.0,0.0,-26.397726708436956
184.0,0.0,-24.411230287218363
185.0,0.0,-22.083325077234388
186.0,0.0,-24.149662473541788
187.0,0.0,-28.31418990837846
188.0,0.0,-22.755382816332805
189.0,0.0,-29.76197000557268
190.0,0.0,-23.98590620113116
191.0,0.0,-32.56819127581315
192.0,0.0,-17.078961800355433
193.0,0.0,-41.27016387404043
194.0,0.0,-32.33914820013308
195.0,0.0,-16.4136481495696
196.0,0.0,-32.03244399711106
197.0,0.0,-27.542857288932986
198.0,0.0,-21.76110831163693
199.0,0.0,-26.697627878635156
200.0,0.0,-21.896188622433467
201.0,0.0,-18.159053744617136
202.0,0.0,-32.13906577407416
203.0,0.0,-20.719710695957893
204.0,0.0,-28.0650827463626
205.0,0.0,-31.12134904185779
206.0,0.0,-30.39280371338667
207.0,0.0,-28.427426147837657
208.0,0.0,-31.699509548063805
209.0,0.0,-35.796029176050276
210.0,0.0,-18.456323313184065
211.0,0.0,-26.479432242395966
212.0,0.0,-19.58398165207766
213.0,0.0,-35.91065917249943
214.0,0.0,-23.352451564321562
215.0,0.0,-31.05595285766736
216.0,0.0,-36.304874592000125
217.0,0.0,-26.318384431685363
218.0,0.0,-19.045504450414164
219.0,0.0,-32.72381617067633
220.0,0.0,-18.68090225516831
221.0,0.0,-31.283579849168504
222.0,0.0,-24.28924488566242
223.0,0.0,-22.744297584511294
224.0,0.0,-27.913931828570536
225.0,0.0,-31.037343987479865
226.0,0.0,-26.909170943503334
227.0,0.0,-39.38133968181983
228.0,0.0,-19.02515474036629
229.0,0.0,-26.969411067781415
230.0,0.0,-16.89042504705728
231.0,0.0,-35.96646480425538
232.0,0.0,-22.027937607113834
233.0,0.0,-25.78697813533413
234.0,0.0,-37.67679507737509
235.0,0.0,-26.73855334385529
236.0,0.0,-22.950343114387557
237.0,0.0,-20.891782433422485
238.0,0.0,-24.544076140325416
239.0,0.0,-24.209764618810546
240.0,0.0,-22.614758542988913
241.0,0.0,-34.086442861827436
242.0,0.0,-35.58165408584172
243.0,0.0,-25.421859159252513
244.0,0.0,-36.51867268221092
245.0,0.0,-40.77893615678197
246.0,0.0,-30.587444125383215
247.0,0.0,-25.057447192891438
248.0,0.0,-16.954089720396503
